feature,importance,channel,band
F8_theta,0.07363114475038504,F8,theta
FC6_theta,0.041375363604739576,FC6,theta
F8_gamma,0.03233544827210349,F8,gamma
F8_beta,0.032100876644881766,F8,beta
O2_theta,0.03020540913296927,O2,theta
T8_theta,0.028285185167608654,T8,theta
O1_theta,0.025134316613043706,O1,theta
F7_gamma,0.02449452648333349,F7,gamma
O2_alpha,0.024308319690318707,O2,alpha
F8_alpha,0.02319232463632721,F8,alpha
F7_theta,0.023033594441732676,F7,theta
FC5_beta,0.02153910098325791,FC5,beta
O1_gamma,0.020172776426567444,O1,gamma
AF3_beta,0.01935679927126479,AF3,beta
O1_alpha,0.018895175314651225,O1,alpha
F4_alpha,0.0187345191307196,F4,alpha
F3_beta,0.01855927953356956,F3,beta
O2_gamma,0.017726757136300283,O2,gamma
T7_beta,0.017301168256053167,T7,beta
P7_alpha,0.01727676079770373,P7,alpha
P8_gamma,0.01720321891276862,P8,gamma
F7_beta,0.016967739134208973,F7,beta
P8_alpha,0.016963328131398725,P8,alpha
F3_gamma,0.01682800134259785,F3,gamma
AF3_gamma,0.016607633015542276,AF3,gamma
FC5_gamma,0.01640739461753912,FC5,gamma
FC5_alpha,0.016334761380233934,FC5,alpha
F3_alpha,0.01597870565984762,F3,alpha
O1_beta,0.01576604075291539,O1,beta
AF3_alpha,0.015095954676082227,AF3,alpha
T8_gamma,0.015005157489029223,T8,gamma
T7_gamma,0.0146104840581053,T7,gamma
AF4_gamma,0.014355326181541056,AF4,gamma
P8_beta,0.014248737287659111,P8,beta
AF4_beta,0.01336538655650783,AF4,beta
AF4_alpha,0.013313564479443322,AF4,alpha
P8_theta,0.013271453765615138,P8,theta
P7_theta,0.012917138997709927,P7,theta
T8_beta,0.012818285033315335,T8,beta
T7_theta,0.012722698113930696,T7,theta
FC6_gamma,0.012642746027300669,FC6,gamma
AF3_theta,0.012546615738766042,AF3,theta
F7_alpha,0.012417146310608276,F7,alpha
F3_theta,0.012326205020902441,F3,theta
FC5_theta,0.011723488186078147,FC5,theta
AF4_theta,0.011658423801872339,AF4,theta
T7_alpha,0.011474648900137914,T7,alpha
F4_beta,0.010907033941750393,F4,beta
P7_beta,0.010569422513665615,P7,beta
O2_beta,0.010394750876231073,O2,beta
FC6_beta,0.010393879660913688,FC6,beta
FC6_alpha,0.00923456198595415,FC6,alpha
F4_gamma,0.00906253771899474,F4,gamma
F4_theta,0.009057203206471203,F4,theta
P7_gamma,0.008804818437473575,P7,gamma
T8_alpha,0.00834666179935672,T8,alpha
