model,fold,n_train_subjects,n_test_subjects,accuracy,balanced_accuracy,macro_f1,weighted_f1,roc_auc
LogisticRegression,0,22,5,0.6141414141414141,0.5305836139169473,0.46816476357565684,0.5238910684831504,0.5264551614158798
LogisticRegression,1,21,6,0.6767676767676768,0.6767676767676768,0.66654581603415,0.66654581603415,0.7464065773081859
LogisticRegression,2,21,6,0.5953984287317621,0.5953984287317621,0.5903924966087133,0.5903924966087133,0.5333507162912325
LogisticRegression,3,22,5,0.6269360269360269,0.6408529741863075,0.6256511483143858,0.6300374580917122,0.6713090500969289
LogisticRegression,4,22,5,0.564983164983165,0.47951739618406286,0.4009913231128895,0.46367546344168203,0.5081775480204211
RandomForest,0,22,5,0.5501683501683502,0.547979797979798,0.5435361202732949,0.5545404346801743,0.6036817860611352
RandomForest,1,21,6,0.6902356902356902,0.6902356902356902,0.6895125449476789,0.6895125449476789,0.7795954305494148
RandomForest,2,21,6,0.6060606060606061,0.6060606060606061,0.5804842779359903,0.5804842779359902,0.67189415038274
RandomForest,3,22,5,0.6343434343434343,0.6251402918069585,0.6233233942586311,0.6362090316806255,0.6842688009915844
RandomForest,4,22,5,0.4895622895622896,0.4281705948372615,0.39655375760720857,0.44393546256545735,0.40018214316755285
