model,fold,validation,n_train_subjects,n_test_subjects,n_overlapping_subjects,accuracy,balanced_accuracy,macro_f1,weighted_f1,roc_auc
LogisticRegression,0,window_level_stratified_cv,27,27,27,0.7244389027431422,0.7154587235950578,0.7033149874122877,0.7062762839539963,0.8181966794539657
LogisticRegression,1,window_level_stratified_cv,27,27,27,0.6882793017456359,0.6780807841769629,0.6578982840314427,0.6617118008993329,0.7837246848844162
LogisticRegression,2,window_level_stratified_cv,27,27,27,0.6907730673316709,0.6802510960542049,0.6586578065791642,0.6625743017928845,0.8105569948186527
LogisticRegression,3,window_level_stratified_cv,27,27,27,0.6970074812967582,0.6866335701153398,0.6643970077698793,0.6681798226989973,0.8262477757903242
LogisticRegression,4,window_level_stratified_cv,27,27,27,0.7255146600124766,0.7164054170329773,0.703259051330984,0.7062501240239409,0.8228599664552977
RandomForest,0,window_level_stratified_cv,27,27,27,0.9451371571072319,0.9443596801514547,0.9449638868397124,0.945079400351392,0.9887358633917895
RandomForest,1,window_level_stratified_cv,27,27,27,0.9470074812967582,0.9462092716221602,0.9468363660468662,0.9469491892885531,0.9894037714228777
RandomForest,2,window_level_stratified_cv,27,27,27,0.9513715710723192,0.9506495366679952,0.951224760942383,0.9513248587582486,0.9904624601434835
RandomForest,3,window_level_stratified_cv,27,27,27,0.9501246882793017,0.9495627861505099,0.9500003117187548,0.9500904847251513,0.9919251264471958
RandomForest,4,window_level_stratified_cv,27,27,27,0.950093574547723,0.9491062020288933,0.9499024926869515,0.9500163697554921,0.9917104680670645
